Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android_Mobile_NativeApp_TS,,,,08-08-2025 21:47:05,08-08-2025 21:48:05,59.928s,PASSED
,,,,,,,
Test Cases/TestCloud/Mobile_Android_NativeApp_TC,,,,08-08-2025 21:47:08,08-08-2025 21:48:05,57.192s,PASSED
Start listener action : beforeTestCase,,,,08-08-2025 21:47:09,08-08-2025 21:47:09,0.295s,PASSED
"startApplication(""/Users/linh.nguyen/Documents/Mobile Apps/Android/IT Glossary_1.5_Apkpure.apk"", true)",,,,08-08-2025 21:47:09,08-08-2025 21:47:51,41.231s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About App""), 0)",,,,08-08-2025 21:47:51,08-08-2025 21:47:57,6.284s,PASSED
"verifyElementText(findTestObject(""Object Repository/android.widget.TextView - This app contains a wide collection of IT terminology, abbreviations and MCQs, specially designed for students""), ""This app contains a wide collection of IT terminology, abbreviations and MCQ's, specially designed for students."")",,,,08-08-2025 21:47:57,08-08-2025 21:48:01,3.928s,PASSED
closeApplication(),,,,08-08-2025 21:48:01,08-08-2025 21:48:05,3.905s,PASSED
