Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android_Mobile_NativeApp_TS,,,,08-08-2025 22:01:56,08-08-2025 22:02:51,55.275s,PASSED
,,,,,,,
Test Cases/TestCloud/Mobile_Android_NativeApp_TC,,,,08-08-2025 22:01:59,08-08-2025 22:02:51,51.771s,PASSED
Start listener action : beforeTestCase,,,,08-08-2025 22:02:01,08-08-2025 22:02:02,0.312s,PASSED
"startApplication(""/Users/linh.nguyen/Documents/Mobile Apps/Android/IT Glossary_1.5_Apkpure.apk"", true)",,,,08-08-2025 22:02:02,08-08-2025 22:02:37,34.915s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About App""), 0)",,,,08-08-2025 22:02:37,08-08-2025 22:02:43,6.399s,PASSED
"verifyElementText(findTestObject(""Object Repository/android.widget.TextView - This app contains a wide collection of IT terminology, abbreviations and MCQs, specially designed for students""), ""This app contains a wide collection of IT terminology, abbreviations and MCQ's, specially designed for students."")",,,,08-08-2025 22:02:43,08-08-2025 22:02:47,3.506s,PASSED
closeApplication(),,,,08-08-2025 22:02:47,08-08-2025 22:02:51,4.167s,PASSED
